CUSTOMER_NUMBER,CLUSTER_OPT_V2,HAS_CREDIT_CARD
789296,1,1.0
403658,3,1.0
24904,0,0.0
816231,3,1.0
396059,3,1.0
129552,1,0.0
768432,1,0.0
512992,3,1.0
677665,0,0.0
5785,3,0.0
488665,0,1.0
462989,3,1.0
429863,2,1.0
601611,1,0.0
354465,1,0.0
220697,1,0.0
189786,0,0.0
433032,0,0.0
505652,0,0.0
916695,0,0.0
210146,3,0.0
40888,2,0.0
327507,0,0.0
711398,0,0.0
502493,0,0.0
248337,3,1.0
88373,0,0.0
606441,3,0.0
509255,3,0.0
882413,0,0.0
44828,3,1.0
969864,0,1.0
29550,3,1.0
141041,0,0.0
142433,1,0.0
135213,3,0.0
728528,1,0.0
168533,0,1.0
515328,0,0.0
702133,0,0.0
398442,0,0.0
171434,3,1.0
178749,3,0.0
430622,0,1.0
480889,0,1.0
118668,2,0.0
708779,0,0.0
404559,0,0.0
124296,2,0.0
954653,3,1.0
668564,0,1.0
54711,1,0.0
200976,1,0.0
860447,3,1.0
65417,3,0.0
562730,1,0.0
511141,1,0.0
407194,3,0.0
477178,0,0.0
78436,2,0.0
89823,1,1.0
401438,3,1.0
467482,0,0.0
479587,0,0.0
540982,0,0.0
635973,3,1.0
62734,1,0.0
83449,3,0.0
491033,1,0.0
169479,0,0.0
38617,3,0.0
176514,1,0.0
251869,0,0.0
865992,0,0.0
663228,0,0.0
410987,1,0.0
446816,0,0.0
149162,3,0.0
169676,0,0.0
873168,0,0.0
822480,3,1.0
925103,0,0.0
565746,1,0.0
672978,3,0.0
579724,0,0.0
539542,0,0.0
382600,1,0.0
394189,2,0.0
743378,2,0.0
778144,1,0.0
163221,2,1.0
424215,0,0.0
353400,0,0.0
499059,0,0.0
320027,0,0.0
630290,3,0.0
214144,1,0.0
762547,2,1.0
109388,3,1.0
709162,1,0.0
461372,3,0.0
559605,1,0.0
857534,0,0.0
19511,0,0.0
332909,0,0.0
230441,3,0.0
687314,0,0.0
159092,1,0.0
822359,1,0.0
19131,1,0.0
638783,0,0.0
338351,1,1.0
77985,2,0.0
623218,1,0.0
834727,0,0.0
489442,0,0.0
734878,0,0.0
150311,0,0.0
346402,1,0.0
128800,0,0.0
746382,0,0.0
264141,3,1.0
540034,1,0.0
495430,1,0.0
858671,1,0.0
465741,0,0.0
164095,0,1.0
141470,1,0.0
482037,2,1.0
524128,3,0.0
981305,1,0.0
134798,0,0.0
178110,1,0.0
506621,3,0.0
761046,3,1.0
320457,1,0.0
436724,0,0.0
903657,0,0.0
383193,1,0.0
612104,3,0.0
349300,0,0.0
623390,3,0.0
713508,1,0.0
675857,3,1.0
662348,3,0.0
460783,0,0.0
924259,0,0.0
201629,1,0.0
982260,0,1.0
793173,0,0.0
939772,1,0.0
965944,3,1.0
546463,1,0.0
616064,1,0.0
98078,1,0.0
961222,3,1.0
858597,3,0.0
539391,1,0.0
788899,0,0.0
332799,0,0.0
437323,0,1.0
296014,0,0.0
396872,0,0.0
236189,1,0.0
695117,0,0.0
87998,0,0.0
139466,0,0.0
224969,3,0.0
942663,1,0.0
933215,1,0.0
948800,0,0.0
288882,1,0.0
244722,0,0.0
729008,0,1.0
154296,0,0.0
614316,3,0.0
208976,1,0.0
554343,1,0.0
148935,0,0.0
247874,3,0.0
969757,0,0.0
734377,1,0.0
429688,0,0.0
328574,3,0.0
337113,0,1.0
55120,3,0.0
665855,1,0.0
116594,1,0.0
510142,0,0.0
300949,1,0.0
671861,1,0.0
602678,0,0.0
996835,3,0.0
528789,0,1.0
760898,1,0.0
553393,0,0.0
458032,0,0.0
956597,1,0.0
74017,0,0.0
326396,1,0.0
893051,1,0.0
108339,3,0.0
788132,3,1.0
824818,1,0.0
510139,0,1.0
592627,1,0.0
695900,1,0.0
998148,0,0.0
90640,1,0.0
591892,3,0.0
296298,0,0.0
392378,3,0.0
77722,1,0.0
693449,0,0.0
533681,1,0.0
638608,0,0.0
893672,0,0.0
582228,0,0.0
151812,0,0.0
174562,0,0.0
569402,3,1.0
289796,1,0.0
173494,1,0.0
323912,0,0.0
448159,3,0.0
767088,3,1.0
404313,0,0.0
466084,3,1.0
859891,3,1.0
163451,3,0.0
327201,0,0.0
724601,0,0.0
526908,0,0.0
791062,1,0.0
121938,0,0.0
313161,0,0.0
165884,3,0.0
70070,0,1.0
569083,0,0.0
810453,0,0.0
900076,1,0.0
766006,3,0.0
377322,0,0.0
280811,0,0.0
120626,1,0.0
357895,0,0.0
686045,0,1.0
912321,1,0.0
546216,3,0.0
873692,0,1.0
324258,3,1.0
978861,3,0.0
213442,2,0.0
161078,1,0.0
127984,0,0.0
539954,1,0.0
823213,0,0.0
426391,0,0.0
414344,1,0.0
820546,3,0.0
518476,0,0.0
640508,1,0.0
916781,3,0.0
987187,1,0.0
103774,0,0.0
391977,0,0.0
920168,1,0.0
215730,0,0.0
35542,1,0.0
51920,1,0.0
342551,0,0.0
972501,3,0.0
187246,3,1.0
9593,2,0.0
357578,3,0.0
330716,0,0.0
190388,0,0.0
429283,0,0.0
104203,0,0.0
906194,0,0.0
493671,0,0.0
845628,0,0.0
396530,3,1.0
864445,3,0.0
503023,1,0.0
991540,1,0.0
622379,3,1.0
788409,0,0.0
661943,2,0.0
413627,3,1.0
482185,3,0.0
11382,3,0.0
406298,3,0.0
870420,3,0.0
444688,3,0.0
322469,1,0.0
47574,1,0.0
653899,1,0.0
421590,0,0.0
471578,2,0.0
967436,3,1.0
154015,1,0.0
873900,3,1.0
683284,3,1.0
512586,1,0.0
378511,3,0.0
108941,0,0.0
123641,0,0.0
146808,0,0.0
449740,1,0.0
577180,3,1.0
536409,0,0.0
250921,0,0.0
202957,2,1.0
777729,2,0.0
165363,3,0.0
73508,1,0.0
240195,0,0.0
916083,0,0.0
270996,2,0.0
745362,0,0.0
745089,3,1.0
616904,0,0.0
678047,3,0.0
129186,0,0.0
495671,0,0.0
751961,3,0.0
58601,1,0.0
705878,3,1.0
295464,1,0.0
363946,3,1.0
879118,3,1.0
400966,1,0.0
668549,3,1.0
846703,0,0.0
605790,0,0.0
434971,3,0.0
750873,1,0.0
223893,1,0.0
288980,0,0.0
640023,3,1.0
341255,0,0.0
921867,0,1.0
416694,0,0.0
32802,3,0.0
778839,0,0.0
891865,3,1.0
521897,1,0.0
667560,1,0.0
546053,1,0.0
344497,0,0.0
211393,0,0.0
979093,0,0.0
166366,0,0.0
120245,3,0.0
86198,0,0.0
823852,3,0.0
259051,3,0.0
209665,0,0.0
152180,1,0.0
215611,0,0.0
598240,0,0.0
901428,3,0.0
273262,3,1.0
587770,1,0.0
257383,3,1.0
396419,0,0.0
794236,1,0.0
388645,0,0.0
664518,1,0.0
335108,3,1.0
970094,3,1.0
809022,2,0.0
334640,1,0.0
12995,0,0.0
343340,3,0.0
927827,3,1.0
112497,1,0.0
773926,0,0.0
298246,3,1.0
44010,3,1.0
450497,1,0.0
122090,0,0.0
370937,0,0.0
603982,0,0.0
528984,0,0.0
158983,1,0.0
589985,1,0.0
538677,0,0.0
6480,0,0.0
562983,0,0.0
907741,1,0.0
316115,2,1.0
303971,3,1.0
338197,0,0.0
186846,0,1.0
635893,0,0.0
293645,0,0.0
713144,3,0.0
847080,3,1.0
830347,0,0.0
356709,2,0.0
298050,0,0.0
690461,0,0.0
629590,1,0.0
752172,0,1.0
607894,3,0.0
314927,1,0.0
352822,3,0.0
141132,0,0.0
979439,3,1.0
436019,1,0.0
456947,3,1.0
671163,0,0.0
698086,3,1.0
501834,3,0.0
383938,0,0.0
51758,3,1.0
774481,1,0.0
3221,1,0.0
267317,2,0.0
85217,0,0.0
161335,0,0.0
990217,3,0.0
668628,0,0.0
892555,3,0.0
162929,0,0.0
895346,0,1.0
202695,1,0.0
434183,3,1.0
73414,1,0.0
879670,1,1.0
618612,0,1.0
848644,0,0.0
517734,1,0.0
504823,0,1.0
796156,1,0.0
467227,3,0.0
262552,0,0.0
492664,1,0.0
10259,3,0.0
126534,0,0.0
656233,1,0.0
789856,0,0.0
659689,2,1.0
119116,0,0.0
813019,2,0.0
206006,0,0.0
823030,3,0.0
408166,2,0.0
549833,0,0.0
373878,2,0.0
818637,2,1.0
409146,3,1.0
317129,1,0.0
555295,3,1.0
916634,3,1.0
487861,0,0.0
465803,1,0.0
678102,3,0.0
569444,0,0.0
908897,1,0.0
98483,1,0.0
838342,3,0.0
248559,0,0.0
223027,0,0.0
229194,1,0.0
582280,1,0.0
278041,0,1.0
605262,3,0.0
740301,0,1.0
52288,3,1.0
268582,1,0.0
811654,1,0.0
313884,1,0.0
182216,3,1.0
301640,0,0.0
530452,0,0.0
118706,0,0.0
834302,0,0.0
603256,0,0.0
854198,3,0.0
179486,3,1.0
711781,0,1.0
901579,0,0.0
25113,0,0.0
467766,1,0.0
726774,1,0.0
898910,3,1.0
289904,3,1.0
548186,3,0.0
544355,1,0.0
522407,0,1.0
412703,0,0.0
531401,1,0.0
964636,1,0.0
95572,3,0.0
229765,0,0.0
495649,3,0.0
610925,3,0.0
622110,3,1.0
784677,0,0.0
532602,3,0.0
518379,3,1.0
252866,1,0.0
642264,1,1.0
784297,1,0.0
911898,1,0.0
678401,3,0.0
334044,3,0.0
828442,3,1.0
421955,0,1.0
965709,0,1.0
447593,1,0.0
598434,1,0.0
894591,1,0.0
701880,1,0.0
814290,2,0.0
170318,0,0.0
206844,0,0.0
881382,0,0.0
707879,3,0.0
771422,1,0.0
304549,2,0.0
566193,0,0.0
903383,3,0.0
559253,2,0.0
320283,0,0.0
405668,1,0.0
280951,1,0.0
703262,0,0.0
922749,1,0.0
773708,3,1.0
679542,3,1.0
292349,0,0.0
527622,1,0.0
256648,0,0.0
169145,2,0.0
108903,3,1.0
124407,3,1.0
240263,3,0.0
646296,2,0.0
848332,1,0.0
494316,0,1.0
350800,0,0.0
810225,1,0.0
533506,0,0.0
880751,1,0.0
559923,0,0.0
432525,0,0.0
811964,3,0.0
692850,1,0.0
562041,0,0.0
977529,3,1.0
659676,0,1.0
39098,0,0.0
740977,0,1.0
232059,0,1.0
411749,0,0.0
455957,0,0.0
828601,0,0.0
501270,1,0.0
654823,0,0.0
490097,0,0.0
981337,0,0.0
180620,0,0.0
93725,1,0.0
487193,3,0.0
551090,1,0.0
489344,0,0.0
308846,0,0.0
116375,0,0.0
100088,0,0.0
977486,3,0.0
281652,3,0.0
250091,1,0.0
991936,0,0.0
834856,0,1.0
809672,0,0.0
508673,0,0.0
890827,0,1.0
545182,1,0.0
275000,0,0.0
600167,0,0.0
81831,0,0.0
54721,0,0.0
826942,0,0.0
258673,3,0.0
77927,0,0.0
893741,1,0.0
218070,0,0.0
804354,3,0.0
689795,3,1.0
190324,3,1.0
293579,3,1.0
819577,1,0.0
308849,3,0.0
234833,0,0.0
208377,3,1.0
364122,0,0.0
755520,1,0.0
989641,2,0.0
743874,1,0.0
961120,1,0.0
679846,1,0.0
14574,3,1.0
23510,3,1.0
770325,0,1.0
10348,3,0.0
349373,3,0.0
126509,0,0.0
332050,2,0.0
973486,1,0.0
613248,0,0.0
976390,3,1.0
484026,1,0.0
616411,0,1.0
507396,3,1.0
445121,3,0.0
848437,3,0.0
578326,1,0.0
995043,1,0.0
365916,1,0.0
67300,1,0.0
68825,1,0.0
538890,0,1.0
923320,0,0.0
352533,0,0.0
701530,3,0.0
440156,3,0.0
355138,0,0.0
75854,3,0.0
523792,1,0.0
776987,0,0.0
268557,0,0.0
90707,3,0.0
711266,0,0.0
53130,0,0.0
633400,3,1.0
351881,0,0.0
329135,3,0.0
222911,3,0.0
411953,0,0.0
536105,1,0.0
157,1,0.0
241624,3,0.0
508011,1,0.0
359500,0,0.0
616845,1,0.0
887535,0,0.0
686293,1,0.0
111721,1,0.0
543220,3,1.0
274297,3,0.0
583234,0,0.0
117932,1,0.0
708854,0,0.0
528262,0,1.0
611109,1,0.0
741643,0,0.0
572382,1,0.0
444447,2,0.0
884733,0,0.0
585261,3,0.0
107371,3,1.0
379520,3,1.0
530020,0,0.0
57180,0,0.0
196814,1,0.0
543673,1,0.0
236582,1,0.0
981669,3,0.0
828775,1,0.0
111065,0,0.0
278733,0,0.0
177030,0,1.0
221657,3,1.0
104299,0,0.0
446514,3,1.0
485413,0,0.0
239415,1,0.0
999851,0,1.0
217127,2,0.0
133174,0,0.0
329058,0,0.0
443783,3,1.0
287712,1,0.0
243304,0,0.0
1285,0,0.0
945225,1,0.0
124334,3,1.0
607726,1,0.0
272702,3,1.0
393496,1,0.0
744033,1,0.0
497159,1,0.0
784812,3,0.0
191748,3,1.0
68334,3,0.0
159514,2,0.0
747213,3,0.0
785379,3,0.0
108600,1,0.0
145308,0,0.0
147252,1,0.0
821583,0,0.0
625500,0,0.0
345850,0,0.0
489790,0,0.0
535525,2,0.0
154342,1,0.0
685050,3,1.0
845387,0,1.0
130926,1,0.0
695304,0,0.0
556444,0,0.0
168290,3,0.0
233374,0,0.0
340162,3,0.0
229580,3,1.0
41774,0,1.0
580411,1,0.0
318681,1,0.0
966695,0,0.0
479023,3,0.0
624083,1,0.0
252675,3,0.0
117133,0,0.0
748856,2,1.0
28588,0,0.0
215115,0,0.0
658933,1,0.0
881055,1,0.0
923688,3,1.0
538432,0,1.0
41410,0,0.0
124807,1,0.0
752849,0,0.0
409743,0,0.0
971530,0,0.0
256025,3,1.0
501429,0,0.0
971812,0,1.0
799586,0,0.0
279328,0,1.0
98139,1,0.0
30864,0,1.0
779033,0,0.0
679587,3,0.0
758423,3,0.0
609474,3,0.0
861979,0,0.0
330410,0,0.0
776029,0,0.0
446085,1,0.0
824018,0,0.0
680876,0,0.0
983430,1,0.0
878929,0,0.0
478940,1,0.0
288749,0,0.0
476116,3,0.0
176077,0,0.0
810847,2,0.0
653691,3,1.0
687743,3,0.0
839668,1,0.0
641586,3,1.0
143061,0,1.0
950661,3,0.0
39395,3,1.0
60654,3,0.0
648984,1,0.0
767178,3,1.0
772098,3,0.0
565266,1,0.0
790607,1,0.0
306117,1,0.0
356955,1,0.0
269619,1,0.0
31419,0,0.0
551794,0,0.0
895478,0,0.0
781699,0,0.0
671152,1,0.0
221400,3,1.0
317612,1,0.0
333266,0,0.0
472024,0,0.0
125049,1,0.0
513868,3,1.0
610842,2,0.0
438856,3,0.0
682595,0,0.0
554185,1,0.0
710619,0,0.0
873907,0,0.0
576925,3,1.0
639790,0,0.0
993,0,1.0
94090,3,1.0
221456,0,0.0
538895,1,0.0
723719,1,0.0
828793,1,0.0
752488,0,0.0
994649,3,0.0
577391,1,0.0
179429,1,0.0
794776,1,0.0
780672,1,0.0
845430,3,0.0
451485,0,1.0
606049,1,0.0
545332,1,0.0
508024,1,0.0
680636,0,0.0
61019,0,0.0
587434,0,0.0
472678,0,0.0
43721,0,0.0
512570,0,0.0
518621,2,0.0
58231,1,0.0
612509,1,0.0
167649,2,1.0
313850,0,0.0
129139,1,0.0
243945,0,0.0
168875,0,1.0
278010,1,0.0
428954,0,1.0
32632,1,0.0
102965,0,1.0
607480,0,0.0
538531,1,0.0
872872,3,1.0
370928,1,0.0
301133,0,0.0
541752,3,0.0
361898,0,0.0
459561,1,0.0
463035,3,1.0
633983,0,1.0
368944,0,0.0
661304,1,0.0
16940,0,0.0
275377,3,1.0
176201,1,0.0
790471,0,1.0
191821,0,0.0
307468,3,1.0
474801,3,0.0
771155,0,0.0
48171,0,0.0
427131,0,0.0
54474,0,0.0
15394,0,0.0
504324,2,0.0
103542,3,0.0
398042,0,0.0
536966,2,0.0
80097,1,0.0
364441,3,1.0
437181,1,0.0
637509,1,0.0
462799,0,0.0
784390,0,0.0
723736,3,1.0
155039,0,0.0
200537,0,0.0
455930,0,0.0
64990,0,0.0
929416,0,0.0
553996,1,0.0
773005,3,0.0
152172,3,1.0
826542,1,0.0
963253,1,0.0
562249,2,1.0
94767,0,0.0
559900,3,1.0
24096,1,0.0
997923,1,0.0
538421,1,0.0
489546,1,0.0
432715,0,0.0
285868,3,0.0
28506,3,1.0
267603,2,0.0
886399,3,1.0
369413,3,0.0
654745,1,0.0
102456,0,0.0
534025,0,0.0
337253,2,0.0
690192,0,0.0
854870,2,0.0
877304,1,0.0
169986,0,0.0
763174,2,0.0
353201,3,0.0
825323,3,0.0
486313,3,0.0
277813,1,0.0
938195,1,0.0
801207,3,0.0
731996,3,0.0
431019,1,0.0
594506,3,1.0
535744,1,0.0
91325,3,1.0
33314,1,0.0
795870,0,0.0
858692,1,0.0
926954,0,0.0
551820,0,0.0
126948,0,0.0
750681,0,0.0
412653,1,0.0
298506,1,0.0
403564,3,1.0
13936,0,0.0
221698,3,0.0
925354,0,0.0
992372,3,1.0
904618,0,0.0
550588,0,0.0
700165,1,0.0
283981,3,0.0
359683,1,0.0
275279,1,0.0
517909,0,0.0
765788,1,0.0
75883,0,0.0
351632,0,1.0
475206,2,0.0
3163,3,0.0
578593,0,0.0
691224,3,0.0
230921,1,0.0
543129,3,1.0
682864,0,0.0
159729,3,1.0
481157,3,1.0
417443,1,0.0
389683,3,0.0
262400,0,0.0
184723,0,0.0
333473,1,0.0
140749,0,0.0
423770,1,0.0
761257,3,1.0
647353,2,0.0
167904,3,0.0
16034,3,0.0
869126,3,0.0
468992,3,0.0
712143,0,0.0
523279,3,1.0
573566,0,0.0
649182,1,0.0
603682,0,0.0
503134,1,0.0
236177,0,0.0
432588,0,0.0
958700,1,0.0
577647,2,0.0
717766,0,0.0
108313,1,0.0
298084,3,0.0
752513,0,0.0
233781,1,0.0
129983,0,0.0
453293,0,0.0
351810,1,0.0
877063,0,0.0
432585,1,0.0
111504,0,0.0
559168,1,0.0
64906,1,0.0
579000,1,0.0
916638,1,0.0
275310,1,0.0
540587,0,0.0
628067,1,0.0
431155,0,0.0
687307,1,0.0
491681,1,1.0
933442,0,0.0
301246,1,0.0
386910,1,0.0
420173,0,0.0
393642,3,1.0
421684,0,0.0
156771,0,0.0
151136,1,0.0
996435,0,0.0
130992,3,1.0
945215,3,0.0
232561,0,0.0
453554,0,0.0
193697,0,0.0
112941,2,0.0
709673,3,1.0
526764,0,0.0
954436,3,0.0
427831,0,0.0
679474,3,0.0
897523,0,0.0
716911,1,0.0
22072,0,1.0
14871,0,0.0
495065,0,0.0
141190,1,0.0
715997,1,0.0
12881,0,0.0
659375,0,0.0
340030,0,0.0
52057,0,1.0
996516,0,0.0
930043,3,1.0
659179,1,0.0
16769,2,0.0
8635,0,1.0
360285,1,0.0
50767,2,0.0
414147,1,0.0
603319,0,0.0
746310,1,0.0
603153,3,1.0
830537,2,0.0
379306,1,0.0
271298,3,1.0
503814,0,0.0
573996,1,0.0
29893,0,1.0
669694,0,0.0
927697,3,0.0
506317,0,0.0
949777,3,0.0
264795,0,0.0
955468,0,0.0
227602,3,0.0
708035,0,0.0
46409,3,0.0
285715,3,0.0
566945,3,0.0
380483,1,0.0
940513,3,0.0
256901,1,1.0
202149,3,0.0
926850,0,0.0
707914,1,0.0
943592,0,1.0
701918,3,0.0
129825,1,0.0
347114,0,0.0
457595,0,0.0
555767,0,1.0
912864,1,0.0
789669,1,0.0
710642,1,0.0
662591,1,0.0
